branch,radius_mm,gate_mm,reachable_voxel_coverage,reachable_patient_mean,reachable_patient_median,reachable_patient_iqr25,reachable_patient_iqr75,reachable_eligible_cases,overall_voxel_coverage,overall_patient_mean,overall_patient_median,overall_patient_iqr25,overall_patient_iqr75,overall_error_cases
pos,2.0,19.0,0.38820643755381995,0.33954562125778154,0.3253259295026557,0.1977063479244064,0.47562855216260475,97,0.38835723704882097,0.33609189039614684,0.3255428018254737,0.19377117792176785,0.47498678099719743,99
pos,2.0,20.0,0.40503967925205675,0.35376717879344505,0.33634468380820015,0.20497496365692133,0.5012041229168673,97,0.4049459290286028,0.3499388245121405,0.3373798076923077,0.19967499722789808,0.4971951485013408,99
pos,2.0,21.0,0.42381106600488555,0.36979453005939894,0.35205003474635166,0.21256662897754805,0.5248049320874675,97,0.4234446091080702,0.3655431144077209,0.3504807692307692,0.21004099673996385,0.526037452079904,99
pos,2.0,22.0,0.44008194437122006,0.3838685924012811,0.3646977067407922,0.21968035098715136,0.5475387727579232,97,0.4394791076496013,0.37924620343215804,0.36586028812177224,0.2190495500160603,0.5475486063550785,99
pos,2.0,23.0,0.45504357060546946,0.3968492851306077,0.37784749693084163,0.22484251332579552,0.5648599269183922,97,0.45422337459270495,0.3918855203956034,0.3800304245609183,0.22579966100243348,0.5666271755263834,99
pos,2.0,24.0,0.4685478222228917,0.4086642198529025,0.3903969444823353,0.2327215931276845,0.5855663824604141,97,0.4675314393442704,0.40339020820399707,0.3919236620107869,0.2308166784688315,0.5799129814297759,99
pos,2.0,25.0,0.4810717038353681,0.4197945655950647,0.4025371709180194,0.24170245997657167,0.6019217570350034,97,0.4798733766956711,0.4142284002608851,0.4021573779560227,0.23835713075981127,0.5914312730786251,99
pos,2.0,26.0,0.4955600912836194,0.43310189011286765,0.4164506888555449,0.2528129896026207,0.6213459196102314,97,0.49415127996417535,0.4271867421229073,0.4121145069838197,0.25032137617293637,0.6140546475609516,99
pos,2.0,27.0,0.5088810727080556,0.4453000597154667,0.4295457645614514,0.26434980771969807,0.6359622411693058,97,0.5072787370327395,0.43906524238988176,0.42013552758954503,0.2602356806571381,0.6291937443114171,99
pos,2.0,28.0,0.5215066316193805,0.45711327503813576,0.4434592824989769,0.27257383966244725,0.6504263093788063,97,0.5197208745370382,0.4505694256654727,0.4296777762411838,0.2736380487128469,0.6449564961792149,99
pos,2.0,29.0,0.5338070742294493,0.4686523141811922,0.4576456145137089,0.2843881856540084,0.6690012180267966,97,0.5318426189598482,0.46180622665532395,0.43756050338818975,0.28540558498200863,0.6633343133000145,99
pos,2.0,30.0,0.5454108390511123,0.4795579802789318,0.47237757468285363,0.29648382559774966,0.6809368565545642,97,0.5432778067794681,0.47242670323871994,0.44820834149206973,0.2960414062986846,0.6782532793885008,99
pos,2.0,31.0,0.5590381076473881,0.4924151390524568,0.4909289319328877,0.3098484848484849,0.6993287009775055,97,0.5567071013456509,0.48494825102228206,0.4767965537497552,0.30959354980474135,0.6974548656637676,99
pos,2.0,32.0,0.5705841298055077,0.5034468192807997,0.5082526258354931,0.32126543732025037,0.7100459309857496,97,0.5680853853747362,0.49569213639413856,0.501272762874486,0.3200329488120599,0.7081896353305972,99
pos,2.0,33.0,0.5821489810930435,0.5145720361165732,0.5258491338153048,0.33513787853155136,0.7186432693440113,97,0.5794822249876914,0.5065273587752079,0.5233992559232427,0.33046719368797395,0.7195665865219981,99
pos,2.0,34.0,0.5934765853499331,0.5256184920366735,0.5418087573318783,0.3493486719675182,0.7287726358148894,97,0.5906452642438847,0.517286647720321,0.5425886038770316,0.34126641131880964,0.7306453325814407,99
pos,2.0,35.0,0.6041891047125545,0.5361509446920593,0.5547674259991816,0.3585833743236596,0.7370156636438582,97,0.6012021544269912,0.5275455782753073,0.5559760327972249,0.3519507574669547,0.7384833191039506,99
pos,2.0,36.0,0.6167305601791528,0.5489208844038129,0.5673168735506752,0.36956878176750285,0.7479742020836778,97,0.6135614103233372,0.5399858448605734,0.5652265321139494,0.3642718047851635,0.749883936220955,99
pos,2.0,37.0,0.6281359915042968,0.5604691214138179,0.5829983447623551,0.38055418921134615,0.7618757612667478,97,0.6248011459928599,0.5512351854159112,0.5810002718129926,0.3767412618991184,0.7610604029165318,99
pos,2.0,38.0,0.6383024661138434,0.5707399337784995,0.5903696630746147,0.3887522544679456,0.7702496954933008,97,0.6348199242437362,0.5612400461308518,0.5908372827804107,0.38687612482609895,0.7694085420681226,99
pos,2.0,39.0,0.6485681074716496,0.5811575663436445,0.6053744373209657,0.39760616494507295,0.7813143445435827,97,0.6449364285696614,0.5713878809389576,0.5953133228014744,0.39598793258004705,0.7786453767389296,99
pos,2.0,40.0,0.6584232738081789,0.5911823127115643,0.6175146637566499,0.4061321528119364,0.7892072752230611,97,0.6546484211672204,0.5811537542132467,0.6047066306249006,0.40629734912525456,0.7905723006611042,99
pos,2.0,41.0,0.6691370484460947,0.6022935321653914,0.62816,0.41800078094494336,0.8000913520097442,97,0.6652065483892516,0.5919788148580581,0.62951889100299,0.41777906771667006,0.8006472743985902,99
