branch,radius_mm,case_quantile,eligible_cases,mean_mm,median_mm,iqr25_mm,iqr75_mm
neg,8.0,p90,95,61.813100467481114,59.2313117980957,48.172586631774934,71.62609100341797
neg,8.0,p95,95,69.47413633848491,65.87796783447266,55.254323005676255,82.04136276245117
neg,8.0,p99,95,79.86381926887914,77.17292266845702,64.75187141418459,90.57545349121091
neg,10.0,p25,95,13.966454209779439,10.686189651489258,7.565328121185303,16.905460357666016
neg,10.0,p50,95,29.120799516376696,25.774765968322754,18.26125144958496,36.19552135467529
neg,10.0,p75,95,46.406007224635076,44.06044387817383,33.65529823303223,53.628636837005615
neg,10.0,p90,95,60.641818791439654,57.63535690307617,46.83905715942383,70.4886589050293
neg,10.0,p95,95,68.27799257378828,64.94699516296387,53.752481460571275,80.75106830596924
neg,10.0,p99,95,78.66676355783562,75.58305465698241,63.44451345443723,90.09949920654297
neg,12.0,p25,95,13.253345612475746,10.317307472229004,6.656890869140625,15.795153617858887
neg,12.0,p50,95,28.113082017396625,25.0,17.27103614807129,35.07813835144043
neg,12.0,p75,95,45.231844119021765,42.63652992248535,32.546478271484375,52.31729316711426
neg,12.0,p90,95,59.3869432509573,56.410250473022465,45.774539184570315,69.27072715759277
neg,12.0,p95,95,67.02257732190583,63.76386203765869,52.32309255599974,79.67472095489501
neg,12.0,p99,95,77.41968473936382,74.7148156738281,62.2649110984802,89.20592735290526
neg,14.0,p25,95,12.6566136560942,10.0,5.797156810760498,15.092142105102539
neg,14.0,p50,95,27.220169233020982,24.4727725982666,16.43263530731201,34.16969680786133
neg,14.0,p75,95,44.18390869843332,41.3663444519043,31.388777256011963,51.47063446044922
neg,14.0,p90,95,58.318469583611744,55.0,45.0,68.65007324218752
neg,14.0,p95,95,65.90976213957133,62.684069824218746,51.18857116699219,78.4150987625122
neg,14.0,p99,95,76.3772294291446,74.28479919433599,61.20709831237794,87.81678340911867
neg,16.0,p25,95,12.137684972662674,10.0,5.273491621017456,15.0
neg,16.0,p50,95,26.293942175413434,23.395339965820312,15.555007934570312,32.91078186035156
neg,16.0,p75,95,43.12238069333528,39.88522720336914,30.23131513595581,50.91426467895508
